ai.100tal.com	39.97.118.81, 47.95.141.36
app.100tal.com	221.122.77.164
api.100tal.com	103.235.226.212
bi.100tal.com	103.235.226.213
campus.100tal.com	60.28.207.87
catkin.100tal.com	118.89.240.71
crm.100tal.com	124.250.31.116
dns.100tal.com	59.151.115.107
dp.100tal.com	103.235.226.201
download.100tal.com	118.190.76.132
e.100tal.com	47.90.61.63
ec.100tal.com	221.122.69.18
en.100tal.com	118.190.76.132
fe.100tal.com	123.57.66.8
file.100tal.com	101.89.124.211, 101.89.124.214, 101.89.124.215, 101.89.124.216, 101.89.124.217, 101.89.124.218, 114.80.24.196, 114.80.24.197, 114.80.24.198, 114.80.24.199, 114.80.24.203, 180.163.122.225, 180.163.122.226, 180.163.122.227, 180.163.122.228
future.100tal.com	39.96.40.191
fx.100tal.com	124.250.97.123
gitlab.100tal.com	124.250.97.122
home.100tal.com	103.235.226.233
hr.100tal.com	59.151.118.91
img.100tal.com	101.89.124.213, 101.89.124.214, 101.89.124.215, 101.89.124.216, 101.89.124.217, 101.89.124.218, 114.80.24.196, 114.80.24.197, 114.80.24.198, 114.80.24.199, 114.80.24.203, 180.163.122.224, 180.163.122.225, 180.163.122.226, 180.163.122.227
job.100tal.com	52.80.128.110, 52.80.244.174
ir.100tal.com	23.210.215.186, 23.210.215.208, 23.210.215.218
learn.100tal.com	101.37.188.116
live.100tal.com	124.250.24.254
log.100tal.com	103.235.226.213
login.100tal.com	124.250.24.254
m.100tal.com	124.250.24.231
mail.100tal.com	211.150.66.111
maint.100tal.com	39.105.93.106
mark.100tal.com	103.235.226.213
meeting.100tal.com	39.96.43.232
msoid.100tal.com	42.159.132.138, 42.159.133.17, 42.159.233.91, 42.159.237.146
notebook.100tal.com	103.235.226.213
ops.100tal.com	203.107.40.110
pay.100tal.com	59.151.115.71
passport.100tal.com	203.107.40.110
phoenix.100tal.com	39.97.20.218
pmp.100tal.com	114.215.43.152
pop.100tal.com	58.215.117.69
reg.100tal.com	101.201.142.119, 101.201.142.35, 101.201.73.58
security.100tal.com	203.107.40.110
service.100tal.com	221.122.77.164
sign.100tal.com	221.122.77.154
sms.100tal.com	124.250.97.69
smtp.100tal.com	58.215.117.69
solar.100tal.com	221.122.65.170
src.100tal.com	203.107.40.110
sso.100tal.com	221.122.77.164
ssc.100tal.com	221.122.77.137
star.100tal.com	115.182.69.94
tag.100tal.com	103.235.226.213
test.100tal.com	202.108.48.138
tracker.100tal.com	103.235.226.213
trace.100tal.com	103.235.226.213
turing.100tal.com	47.95.65.178
upload.100tal.com	47.95.130.226
v1.100tal.com	221.122.69.2
v2.100tal.com	221.122.77.155
vpn2.100tal.com	124.250.25.147
vpn.100tal.com	124.250.25.147, 124.250.97.124
vpn1.100tal.com	124.250.97.124
wap.100tal.com	118.190.76.132
wiki.100tal.com	103.235.226.170
www.100tal.com	203.107.33.189
www1.100tal.com	115.182.69.241
api.future.100tal.com	39.96.40.191
api.service.100tal.com	221.122.77.164
