account.immomo.com	58.83.184.11
ad.immomo.com	140.210.71.142
alpha.immomo.com	140.210.71.142
api.immomo.com	106.2.28.11
ap.immomo.com	140.210.71.10
bi.immomo.com	140.210.71.133
bm.immomo.com	140.210.71.142
campus.immomo.com	140.210.71.142
chat.immomo.com	106.2.29.12
cm.immomo.com	39.105.227.115
cloud.immomo.com	39.107.209.71
cosmos.immomo.com	39.107.209.71
developer.immomo.com	140.210.71.133
developers.immomo.com	47.95.30.14
design.immomo.com	39.96.114.48
dev.immomo.com	39.107.209.71
dl.immomo.com	61.184.116.85
dls.immomo.com	101.227.97.253, 114.236.140.64, 115.223.16.254, 121.46.248.82, 122.228.25.25, 183.131.111.151, 45.124.125.105, 59.63.81.146, 61.147.106.166
download.immomo.com	140.210.71.142
et.immomo.com	101.227.97.174, 121.46.248.88
ext.immomo.com	39.107.209.118
game.immomo.com	140.210.71.133
h5.immomo.com	140.210.71.144
hermes.immomo.com	58.83.184.146
hello.immomo.com	125.39.3.153
hera.immomo.com	140.210.71.145
hr.immomo.com	140.210.71.151
img.immomo.com	101.227.97.174
ir.immomo.com	23.2.128.214
live.immomo.com	140.210.71.151
m.immomo.com	140.210.71.142
mail.immomo.com	124.251.45.55, 124.251.45.56
mg.immomo.com	140.210.71.142
mk.immomo.com	39.107.209.118
mms.immomo.com	140.210.71.142
nb.immomo.com	140.210.71.142
oauth.immomo.com	124.250.60.11
ocs.immomo.com	124.250.60.19
open.immomo.com	58.83.184.14
passport.immomo.com	140.210.71.142
pay.immomo.com	140.210.71.142
pc.immomo.com	140.210.71.151
push.immomo.com	39.107.10.232
s.immomo.com	39.107.192.238
security.immomo.com	59.110.136.53
smtp.immomo.com	124.251.45.56
sso.immomo.com	106.2.29.12
tips.immomo.com	140.210.71.142
vip.immomo.com	58.83.184.12
web.immomo.com	140.210.71.151
www.immomo.com	118.178.215.131
beta.developer.immomo.com	124.250.63.79
beta.m.immomo.com	58.83.184.163
beta.oauth.immomo.com	58.83.184.163
beta.tips.immomo.com	58.83.184.163
beta.www.immomo.com	58.83.184.163
beta.api.immomo.com	58.83.184.163
test.bm.immomo.com	123.56.24.2
