alpha.mobike.com	118.89.5.16
app.mobike.com	103.37.142.215, 103.37.152.14, 103.37.155.46
apitest.mobike.com	139.219.12.51
app2.mobike.com	101.236.12.34, 103.37.152.137, 103.37.155.28
apm.mobike.com	180.101.153.104, 180.101.153.115, 180.101.217.115, 180.101.217.117, 180.101.217.119, 180.101.217.205, 180.101.217.232, 180.101.217.236, 180.96.1.179, 180.96.1.91, 180.97.146.116, 180.97.146.207, 180.97.146.98, 221.228.67.182, 222.186.49.82
api.mobike.com	103.37.142.215, 103.37.152.14, 103.37.155.46
auth.mobike.com	103.37.142.215, 103.37.152.14, 103.37.155.46
bike.mobike.com	101.236.12.34, 103.37.152.137, 103.37.155.28
business.mobike.com	101.236.12.34, 103.37.152.137, 103.37.155.28
campus.mobike.com	211.151.116.14
cdn.mobike.com	115.231.229.57, 122.228.0.250, 122.246.6.183, 122.246.7.198
delta.mobike.com	140.143.116.21
dialin.mobike.com	114.255.214.206, 114.255.214.207, 114.255.214.208
dev1.mobike.com	211.159.233.157
download.mobike.com	42.159.25.99
dr.mobike.com	211.159.232.212
docs.mobike.com	211.159.233.228
ecs.mobike.com	114.255.214.192
event.mobike.com	101.236.12.34, 103.37.152.137, 103.37.155.28
france.mobike.com	140.143.217.228
gold.mobike.com	211.159.232.209
gov.mobike.com	54.223.242.190
h5.mobike.com	101.236.12.34, 103.37.152.137, 103.37.155.28
internal.mobike.com	114.255.214.215
kai.mobike.com	52.174.68.123
lambda.mobike.com	118.89.213.172
luna.mobike.com	211.159.232.177
m.mobike.com	118.89.5.53, 154.8.132.158
m2.mobike.com	101.236.12.34, 103.37.152.137, 103.37.155.28
m3.mobike.com	101.236.12.34, 103.37.152.137, 103.37.155.28
meet.mobike.com	114.255.214.206, 114.255.214.207, 114.255.214.208
mdm.mobike.com	114.255.214.197
mini.mobike.com	118.89.5.17, 154.8.132.157
moon.mobike.com	211.159.232.145
msoid.mobike.com	139.217.17.219, 139.217.21.3, 42.159.4.200, 42.159.4.68
msg.mobike.com	139.219.12.51
next.mobike.com	42.159.25.99
omega.mobike.com	118.89.5.42
open.mobike.com	103.37.142.215, 103.37.152.14, 103.37.155.46
ota.mobike.com	118.89.5.43
pan.mobike.com	114.255.214.205
partner.mobike.com	101.236.12.34, 103.37.152.137, 103.37.155.28
passport.mobike.com	103.37.142.215, 103.37.152.14, 103.37.155.46
pay.mobike.com	123.207.193.44
pts.mobike.com	103.37.142.215, 103.37.152.14, 103.37.155.46
rap.mobike.com	118.89.210.228
rms.mobike.com	114.255.214.199, 114.255.214.217, 114.255.214.218
sandbox.mobike.com	140.143.49.21
security.mobike.com	140.143.181.89
sip.mobike.com	114.255.214.211, 114.255.214.212
static.mobike.com	115.231.229.139, 180.153.100.210, 180.153.93.117
survey.mobike.com	118.89.5.17, 154.8.132.158
tree.mobike.com	211.159.232.244
www.mobike.com	211.159.144.63
zen.mobike.com	211.159.232.191
