abc.netease.com	223.252.215.121
ad.netease.com	59.111.160.246
ai.netease.com	59.111.181.41
analytics.netease.com	114.113.198.241
ap.netease.com	223.252.196.10
app.netease.com	59.111.137.155
apm.netease.com	59.111.181.155
arch.netease.com	101.227.102.164
asm.netease.com	59.111.0.252
at.netease.com	123.58.180.16, 123.58.180.17
art.netease.com	59.111.0.101
avatar.netease.com	59.111.137.49
b.netease.com	59.111.181.155
bill.netease.com	59.111.162.185
bim.netease.com	59.111.110.205
bj.netease.com	101.227.97.163
bx.netease.com	203.81.25.175
bw.netease.com	106.2.95.29, 59.111.0.134
c.netease.com	223.252.199.7
cc.netease.com	106.2.95.29, 59.111.0.134
ci.netease.com	115.236.126.253, 115.236.126.254
cdn.netease.com	45.124.126.167
cloud.netease.com	114.113.199.251
cms.netease.com	59.111.9.244
code.netease.com	223.252.220.146
config.netease.com	123.58.180.16, 123.58.180.17
conference.netease.com	59.111.181.41
corp.netease.com	42.186.62.104, 42.186.62.165, 59.111.134.157, 59.111.134.158, 59.111.134.159
cp.netease.com	115.236.126.253, 115.236.126.254
da.netease.com	223.252.199.10
data.netease.com	59.111.163.13
db.netease.com	106.2.95.29, 59.111.0.134
di.netease.com	59.111.181.40
dj.netease.com	106.2.95.29, 59.111.0.134
dl.netease.com	59.111.181.41
dm.netease.com	59.111.181.43
dns.netease.com	59.111.0.97
dnstest.netease.com	220.181.28.15
doc.netease.com	115.236.126.253, 115.236.126.254
dt.netease.com	106.2.95.29, 59.111.0.134
dss.netease.com	223.252.199.70
ea.netease.com	223.252.199.73
el.netease.com	114.113.197.42
em.netease.com	106.2.95.29, 59.111.0.134
emarketing.netease.com	123.58.189.95
f1.netease.com	106.2.95.29, 59.111.0.134
f.netease.com	106.2.95.29, 59.111.0.134
fb.netease.com	42.186.114.196
fc.netease.com	59.111.100.142
fed.netease.com	106.2.115.209
ff.netease.com	106.2.95.29, 59.111.0.134
fin.netease.com	115.236.126.253, 115.236.126.254
fire.netease.com	106.2.95.29, 59.111.0.134
fr.netease.com	114.113.198.155
g.netease.com	59.111.0.58
game.netease.com	59.111.0.193
go.netease.com	59.111.163.113
hm.netease.com	59.111.165.28
hr.netease.com	115.236.126.253, 115.236.126.254
hz.netease.com	115.236.113.65
i.netease.com	115.236.126.253, 115.236.126.254
io.netease.com	42.186.125.158
ip.netease.com	106.2.69.52
ir.netease.com	23.32.248.41, 23.32.248.72
jira.netease.com	115.236.126.253, 115.236.126.254
jl.netease.com	106.2.95.29, 59.111.0.134
jobs.netease.com	123.58.167.170
ka.netease.com	59.111.160.246
kf.netease.com	123.58.180.16, 123.58.180.17
ks.netease.com	115.236.126.253, 115.236.126.254
legal.netease.com	115.236.126.253, 115.236.126.254
lm.netease.com	106.2.95.29, 59.111.0.134
lj.netease.com	106.2.95.29, 59.111.0.134
login.netease.com	59.111.0.40
long.netease.com	106.2.95.29, 59.111.0.134
m.netease.com	220.181.8.66
ma.netease.com	106.2.95.29, 59.111.0.134
mail.netease.com	123.126.96.210
mam.netease.com	59.111.181.155
matrix.netease.com	59.111.0.111
mc.netease.com	106.2.95.29, 59.111.0.134
mcs.netease.com	123.58.173.80
mds.netease.com	59.111.99.104, 59.111.99.164
medusa.netease.com	59.111.160.194
mei.netease.com	223.252.199.7
mon.netease.com	223.252.207.13
monitor.netease.com	220.181.8.248
mp.netease.com	115.236.126.253, 115.236.126.254
mt.netease.com	59.111.141.105
mysql.netease.com	223.252.199.10
n.netease.com	106.2.95.29, 59.111.0.134
nc.netease.com	106.2.95.29, 59.111.0.134
my.netease.com	106.2.95.29, 59.111.0.134
next.netease.com	106.2.95.29, 59.111.0.134
nms.netease.com	123.58.180.16, 123.58.180.17
ns2.netease.com	123.58.173.178
ns8.netease.com	52.27.107.218, 52.69.168.90
nx.netease.com	59.111.9.244
octopus.netease.com	42.186.82.234
omni.netease.com	115.238.122.186
op.netease.com	223.252.207.13
open.netease.com	59.111.160.246
order.netease.com	123.58.182.133
p.netease.com	123.58.180.16, 123.58.180.17
passport.netease.com	59.111.160.209
pay.netease.com	220.181.96.66
pbx.netease.com	59.111.198.84
pk.netease.com	106.2.95.29, 59.111.0.134
pm.netease.com	59.111.0.58
pms.netease.com	59.111.243.186
