999.vipkid.com.cn	39.105.226.119
account.vipkid.com.cn	101.226.28.226, 101.226.28.227, 101.226.28.228, 101.226.28.229, 101.226.28.230, 101.226.28.231, 101.226.28.232, 101.226.28.233
activity.vipkid.com.cn	121.46.248.98
aries.vipkid.com.cn	52.80.106.1, 52.80.204.138, 52.80.36.163, 52.81.14.9, 54.222.186.81, 54.222.191.174, 54.223.121.206, 54.223.196.221
audio.vipkid.com.cn	54.222.49.109
bbs.vipkid.com.cn	54.222.133.120
beta.vipkid.com.cn	52.80.255.111
blog.vipkid.com.cn	59.110.246.206
cat.vipkid.com.cn	52.80.106.1, 52.80.116.144, 52.80.201.221, 52.80.204.138, 52.80.36.163, 54.222.191.174, 54.223.121.206, 54.223.196.221
client.vipkid.com.cn	54.222.129.201, 54.222.227.163, 54.222.251.123, 54.223.106.223, 54.223.231.27, 54.223.246.85, 54.223.50.174, 54.223.55.89
cloud.vipkid.com.cn	180.101.153.104, 180.101.153.115, 180.101.217.115, 180.101.217.117, 180.101.217.119, 180.101.217.205, 180.101.217.232, 180.101.217.236, 180.96.1.179, 180.96.1.91, 180.97.146.116, 180.97.146.207, 180.97.146.98, 221.228.67.182, 222.186.49.82
cms.vipkid.com.cn	52.80.106.1, 52.80.116.144, 52.80.201.221, 52.80.204.138, 52.80.36.163, 54.222.186.81, 54.223.121.206, 54.223.196.221
csr.vipkid.com.cn	39.105.225.55
d.vipkid.com.cn	101.226.28.226, 101.226.28.227, 101.226.28.228, 101.226.28.229, 101.226.28.230, 101.226.28.231, 101.226.28.232, 101.226.28.233
dc.vipkid.com.cn	52.80.106.1, 52.80.116.144, 52.80.201.221, 52.80.204.138, 52.80.36.163, 54.222.186.81, 54.223.121.206, 54.223.196.221
developer.vipkid.com.cn	54.222.208.110
edu.vipkid.com.cn	101.89.124.211, 101.89.124.212, 101.89.124.216, 101.89.124.217, 101.89.124.218, 101.89.125.214, 101.89.125.215, 101.89.125.216, 101.89.125.217, 101.89.125.218, 114.80.24.199, 114.80.24.200, 114.80.24.201, 114.80.24.202, 114.80.24.203
editor.vipkid.com.cn	54.222.129.201, 54.222.136.175, 54.222.245.57, 54.223.167.190, 54.223.180.14, 54.223.231.27, 54.223.246.85, 54.223.73.107
email.vipkid.com.cn	52.2.180.207, 52.4.250.90
esm.vipkid.com.cn	52.80.106.1, 52.80.116.144, 52.80.201.221, 52.80.204.138, 52.80.36.163, 52.81.14.9, 54.222.191.174, 54.223.196.221
file.vipkid.com.cn	114.80.30.41
finance.vipkid.com.cn	39.105.225.55
fin.vipkid.com.cn	54.222.130.82, 54.223.157.97, 54.223.180.14, 54.223.246.85, 54.223.50.174, 54.223.55.89, 54.223.73.107, 54.223.75.217
flower.vipkid.com.cn	52.80.106.1, 52.80.201.221, 52.80.204.138, 52.81.14.9, 54.222.186.81, 54.222.191.174, 54.223.121.206, 54.223.196.221
fms.vipkid.com.cn	180.101.153.104, 180.101.153.115, 180.101.217.115, 180.101.217.117, 180.101.217.119, 180.101.217.205, 180.101.217.232, 180.101.217.236, 180.96.1.179, 180.96.1.91, 180.97.146.116, 180.97.146.207, 180.97.146.98, 221.228.67.182, 222.186.49.82
fs.vipkid.com.cn	123.206.60.226
gateway.vipkid.com.cn	210.73.210.36
hr.vipkid.com.cn	123.206.60.226
image.vipkid.com.cn	115.231.128.144, 122.224.48.149, 122.226.187.15, 122.228.75.133, 122.228.75.136, 122.228.75.140, 122.228.9.25, 183.131.208.25, 183.131.208.90, 61.153.101.71
info.vipkid.com.cn	54.222.136.175, 54.222.245.57, 54.222.251.123, 54.223.106.223, 54.223.157.97, 54.223.231.27, 54.223.75.217, 54.223.77.153
janus.vipkid.com.cn	52.80.106.1, 52.80.116.144, 52.80.201.221, 52.80.36.163, 52.81.14.9, 54.222.191.174, 54.223.121.206, 54.223.196.221
join.vipkid.com.cn	101.89.124.211, 101.89.124.214, 101.89.124.215, 101.89.124.216, 101.89.124.217, 101.89.124.218, 114.80.24.196, 114.80.24.197, 114.80.24.201, 114.80.24.202, 114.80.24.203, 180.163.122.224, 180.163.122.225, 180.163.122.230, 180.163.122.231
km.vipkid.com.cn	52.80.106.1, 52.80.116.144, 52.80.36.163, 52.81.14.9, 54.222.186.81, 54.222.191.174, 54.223.121.206, 54.223.196.221
lc.vipkid.com.cn	101.226.28.226, 101.226.28.227, 101.226.28.228, 101.226.28.229, 101.226.28.230, 101.226.28.231, 101.226.28.232, 101.226.28.233
learning.vipkid.com.cn	101.89.124.211, 101.89.124.212, 101.89.124.213, 101.89.124.214, 101.89.124.218, 101.89.125.211, 101.89.125.212, 101.89.125.213, 101.89.125.214, 101.89.125.216, 114.80.24.196, 114.80.24.197, 114.80.24.198, 114.80.24.200, 114.80.24.201
live.vipkid.com.cn	180.101.153.104, 180.101.153.115, 180.101.217.115, 180.101.217.117, 180.101.217.119, 180.101.217.205, 180.101.217.232, 180.101.217.236, 180.96.1.179, 180.96.1.91, 180.97.146.116, 180.97.146.207, 180.97.146.98, 221.228.67.182, 222.186.49.82
logs.vipkid.com.cn	54.222.149.204, 54.223.243.50
m.vipkid.com.cn	54.222.131.25, 54.222.245.57, 54.222.251.123, 54.223.180.14, 54.223.246.85, 54.223.41.191, 54.223.55.89, 54.223.75.217
mail4.vipkid.com.cn	114.113.81.36
mail.vipkid.com.cn	210.73.210.35
mail2.vipkid.com.cn	114.113.81.36
mail5.vipkid.com.cn	114.113.81.36
mail1.vipkid.com.cn	114.113.81.36
mail3.vipkid.com.cn	114.113.81.36
management.vipkid.com.cn	52.80.178.52, 52.80.27.96, 52.80.78.249, 54.222.156.200, 54.223.194.128, 54.223.233.149, 54.223.40.81, 54.223.70.53
maps.vipkid.com.cn	54.223.16.18
